,time,pressure,ttp_temp,ttp_temp_ADC,sst_temp,sst_temp_ADC,temp_ref,par,fluor,tilt,datetime,id,dep_lat,dep_lon
0,0,8.08837890625,3.541625565944514,23318,3.551225930321266,23165,8514,0.0,0,0,2019-10-01 00:00:00,300434063477010,59.7807,172.8528
1,3600,8.0908203125,3.5468116920189914,23312,3.55643637883162,23159,8514,0.0,0,0,2019-10-01 01:00:00,300434063477010,59.7807,172.8528
2,7200,8.10455322265625,3.5502699362209,23308,3.5599108488353295,23155,8514,0.0,0,0,2019-10-01 02:00:00,300434063477010,59.7807,172.8528
3,10800,8.1182861328125,3.5485407314179156,23310,3.558173530046645,23157,8514,0.0,0,0,2019-10-01 03:00:00,300434063477010,59.7807,172.8528
4,14400,8.13507080078125,3.543354109312304,23316,3.5529625789996544,23163,8514,0.0,0,0,2019-10-01 04:00:00,300434063477010,59.7807,172.8528
5,18000,8.13446044921875,3.549405313142074,23309,3.5590421684923967,23156,8514,0.0,0,1,2019-10-01 05:00:00,300434063477010,59.7807,172.8528
6,21600,8.1341552734375,3.5615138012413468,23295,3.570338282337275,23143,8514,0.0,0,1,2019-10-01 06:00:00,300434063477010,59.7807,172.8528
7,25200,8.1219482421875,3.5684365804954723,23287,3.5781628211178713,23134,8514,0.0,0,1,2019-10-01 07:00:00,300434063477010,59.7807,172.8528
8,28800,8.10577392578125,3.564974859487563,23291,3.575554263825495,23137,8514,0.0,0,1,2019-10-01 08:00:00,300434063477010,59.7807,172.8528
9,32400,8.09234619140625,3.555458543354348,23302,3.5659927846824644,23148,8514,0.0,0,0,2019-10-01 09:00:00,300434063477010,59.7807,172.8528
10,36000,8.072509765625,3.5468116920189914,23312,3.55643637883162,23159,8514,0.0,0,1,2019-10-01 10:00:00,300434063477010,59.7807,172.8528
11,39600,8.0548095703125,3.5476761910449,23311,3.557304933494379,23158,8514,0.0,0,0,2019-10-01 11:00:00,300434063477010,59.7807,172.8528
12,43200,8.05450439453125,3.5519993064577875,23306,3.562517141286321,23152,8514,0.0,0,0,2019-10-01 12:00:00,300434063477010,59.7807,172.8528
13,46800,8.05572509765625,3.5329853277560233,23328,3.5434130830282697,23174,8514,0.0,0,0,2019-10-01 13:00:00,300434063477010,59.7807,172.8528
14,50400,8.06182861328125,3.5105400196835603,23354,3.519994858464088,23201,8514,0.0,0,0,2019-10-01 14:00:00,300434063477010,59.7807,172.8528
15,54000,8.0816650390625,3.545082817993773,23314,3.5538309661425274,23162,8514,0.0,0,0,2019-10-01 15:00:00,300434063477010,59.7807,172.8528
16,57600,8.10516357421875,3.564974859487563,23291,3.5746848286739805,23138,8514,0.0,0,1,2019-10-01 16:00:00,300434063477010,59.7807,172.8528
17,61200,8.1195068359375,3.564974859487563,23291,3.5746848286739805,23138,8514,0.0,0,0,2019-10-01 17:00:00,300434063477010,59.7807,172.8528
18,64800,8.1304931640625,3.564109532801581,23292,3.5746848286739805,23138,8514,0.0,0,2,2019-10-01 18:00:00,300434063477010,59.7807,172.8528
19,68400,8.13995361328125,3.5511346006582585,23307,3.561648335228483,23153,8514,0.0,0,3,2019-10-01 19:00:00,300434063477010,59.7807,172.8528
20,72000,8.13018798828125,3.5424898169660537,23317,3.5529625789996544,23163,8514,0.0,0,1,2019-10-01 20:00:00,300434063477010,59.7807,172.8528
21,75600,8.123779296875,3.5295303886234137,23332,3.5399417941518436,23178,8514,0.0,0,2,2019-10-01 21:00:00,300434063477010,59.7807,172.8528
22,79200,8.11004638671875,3.5183063953426768,23345,3.529531940573179,23190,8514,0.0,0,1,2019-10-01 22:00:00,300434063477010,59.7807,172.8528
23,82800,8.099365234375,3.5208959290455937,23342,3.5303991985624634,23189,8514,0.0,0,2,2019-10-01 23:00:00,300434063477010,59.7807,172.8528
24,86400,8.08929443359375,3.5355769655670883,23325,3.545148978420059,23172,8514,0.0,0,1,2019-10-02 00:00:00,300434063477010,59.7807,172.8528
25,90000,8.08685302734375,3.5269396176038867,23335,3.537338766542689,23181,8514,0.0,0,0,2019-10-02 01:00:00,300434063477010,59.7807,172.8528
26,93600,8.08990478515625,3.5148542607947206,23349,3.5251962770537375,23195,8514,0.0,0,0,2019-10-02 02:00:00,300434063477010,59.7807,172.8528
27,97200,8.10028076171875,3.5269396176038867,23335,3.5364711742806776,23182,8514,0.0,0,0,2019-10-02 03:00:00,300434063477010,59.7807,172.8528
28,100800,8.1182861328125,3.545082817993773,23314,3.5546993951595596,23161,8514,0.0,0,1,2019-10-02 04:00:00,300434063477010,59.7807,172.8528
29,104400,8.12713623046875,3.5485407314179156,23310,3.558173530046645,23157,8514,0.0,0,0,2019-10-02 05:00:00,300434063477010,59.7807,172.8528
30,108000,8.13232421875,3.532121531057385,23329,3.5416773549490586,23176,8514,0.0,0,2,2019-10-02 06:00:00,300434063477010,59.7807,172.8528
31,111600,8.13262939453125,3.5131284407628414,23351,3.5234623039070243,23197,8514,0.0,0,1,2019-10-02 07:00:00,300434063477010,59.7807,172.8528
32,115200,8.11798095703125,3.5088146115660948,23356,3.51912810142494,23202,8514,0.0,0,1,2019-10-02 08:00:00,300434063477010,59.7807,172.8528
33,118800,8.09844970703125,3.521759189403099,23341,3.5312664983222817,23188,8514,0.0,0,2,2019-10-02 09:00:00,300434063477010,59.7807,172.8528
34,122400,8.08197021484375,3.5424898169660537,23317,3.552094233727189,23164,8514,0.0,0,1,2019-10-02 10:00:00,300434063477010,59.7807,172.8528
35,126000,8.05694580078125,3.5468116920189914,23312,3.55643637883162,23159,8514,0.0,0,0,2019-10-02 11:00:00,300434063477010,59.7807,172.8528
36,129600,8.04779052734375,3.525212643215582,23337,3.5356036238162574,23183,8514,0.0,0,0,2019-10-02 12:00:00,300434063477010,59.7807,172.8528
37,133200,8.0413818359375,3.533849165738161,23327,3.5434130830282697,23174,8514,0.0,0,1,2019-10-02 13:00:00,300434063477010,59.7807,172.8528
38,136800,8.04840087890625,3.5684365804954723,23287,3.5781628211178713,23134,8514,0.0,0,1,2019-10-02 14:00:00,300434063477010,59.7807,172.8528
39,140400,8.05908203125,3.577959732605052,23276,3.587730764592152,23123,8514,0.0,0,2,2019-10-02 15:00:00,300434063477010,59.7807,172.8528
40,144000,8.0743408203125,3.5883543501303734,23264,3.598174320653982,23111,8514,0.0,0,0,2019-10-02 16:00:00,300434063477010,59.7807,172.8528
41,147600,8.10211181640625,3.597021098840969,23254,3.606881911539631,23101,8514,0.0,0,0,2019-10-02 17:00:00,300434063477010,59.7807,172.8528
42,151200,8.116455078125,3.6074266838920153,23242,3.6173365793927132,23089,8514,0.0,0,0,2019-10-02 18:00:00,300434063477010,59.7807,172.8528
43,154800,8.13262939453125,3.6169704001282525,23231,3.626053439476266,23079,8514,0.0,0,2,2019-10-02 19:00:00,300434063477010,59.7807,172.8528
44,158400,8.13812255859375,3.617838260519079,23230,3.627797317706211,23077,8514,0.0,0,3,2019-10-02 20:00:00,300434063477010,59.7807,172.8528
45,162000,8.135986328125,3.645631807010261,23198,3.653975765802784,23047,8514,0.0,0,1,2019-10-02 21:00:00,300434063477010,59.7807,172.8528
46,165600,8.12896728515625,3.656065409045709,23186,3.6653315820645958,23034,8514,0.0,0,2,2019-10-02 22:00:00,300434063477010,59.7807,172.8528
47,169200,8.11737060546875,3.628255835292748,23218,3.6382641331881587,23065,8514,0.0,0,2,2019-10-02 23:00:00,300434063477010,59.7807,172.8528
48,172800,8.104248046875,3.552864053623466,23305,3.562517141286321,23152,8514,0.0,0,3,2019-10-03 00:00:00,300434063477010,59.7807,172.8528
49,176400,8.0987548828125,3.523485833825248,23339,3.533868648264445,23185,8514,0.0,0,1,2019-10-03 01:00:00,300434063477010,59.7807,172.8528
50,180000,8.0975341796875,3.5355769655670883,23325,3.545148978420059,23172,8514,0.0,0,0,2019-10-03 02:00:00,300434063477010,59.7807,172.8528
51,183600,8.1005859375,3.558918442348727,23298,3.567730857933384,23146,8514,0.0,0,0,2019-10-03 03:00:00,300434063477010,59.7807,172.8528
52,187200,8.1109619140625,3.5762278772372156,23278,3.585990760436914,23125,8514,0.0,0,0,2019-10-03 04:00:00,300434063477010,59.7807,172.8528
53,190800,8.12530517578125,3.5831562943320705,23270,3.5920815104746566,23118,8514,0.0,0,0,2019-10-03 05:00:00,300434063477010,59.7807,172.8528
54,194400,8.133544921875,3.577959732605052,23276,3.587730764592152,23123,8514,0.0,0,0,2019-10-03 06:00:00,300434063477010,59.7807,172.8528
55,198000,8.14239501953125,3.5667056371312356,23289,3.5764237409474617,23136,8514,0.0,0,2,2019-10-03 07:00:00,300434063477010,59.7807,172.8528
56,201600,8.12774658203125,3.552864053623466,23305,3.562517141286321,23152,8514,0.0,0,1,2019-10-03 08:00:00,300434063477010,59.7807,172.8528
57,205200,8.1158447265625,3.536440927421552,23324,3.5468850411551216,23170,8514,0.0,0,3,2019-10-03 09:00:00,300434063477010,59.7807,172.8528
58,208800,8.0987548828125,3.5286667570203463,23333,3.539074076474435,23179,8514,0.0,0,1,2019-10-03 10:00:00,300434063477010,59.7807,172.8528
59,212400,8.0816650390625,3.532121531057385,23329,3.5416773549490586,23176,8514,0.0,0,1,2019-10-03 11:00:00,300434063477010,59.7807,172.8528
60,216000,8.05999755859375,3.539033060789791,23321,3.548621271264267,23168,8514,0.0,0,0,2019-10-03 12:00:00,300434063477010,59.7807,172.8528
61,219600,8.04840087890625,3.5632442475343282,23293,3.572076775003211,23141,8514,0.0,0,1,2019-10-03 13:00:00,300434063477010,59.7807,172.8528
62,223200,8.043212890625,3.5796917538899606,23274,3.5886008297044896,23122,8514,0.0,0,0,2019-10-03 14:00:00,300434063477010,59.7807,172.8528
63,226800,8.05023193359375,3.5762278772372156,23278,3.585990760436914,23125,8514,0.0,0,1,2019-10-03 15:00:00,300434063477010,59.7807,172.8528
64,230400,8.06396484375,3.577959732605052,23276,3.587730764592152,23123,8514,0.0,0,1,2019-10-03 16:00:00,300434063477010,59.7807,172.8528
