,time,pressure,ttp_temp,ttp_temp_ADC,sst_temp,sst_temp_ADC,temp_ref,par,fluor,tilt,datetime,id,dep_lat,dep_lon
0,0,0.760498046875,16.689557221007362,12411,16.14181395718873,12656,8519,0.0,0,2,2020-05-13 23:00:00,2015,47.687,122.259
1,3600,0.760498046875,16.06921374964344,12770,14.985884058774502,13364,8520,0.0,0,2,2020-05-14 00:00:00,2015,47.687,122.259
2,7200,0.76141357421875,16.05561450337757,12778,15.591484141415663,12988,8521,0.0,0,2,2020-05-14 01:00:00,2015,47.687,122.259
3,10800,0.7611083984375,16.093035534167086,12756,15.119602720608327,13280,8521,0.0,0,2,2020-05-14 02:00:00,2015,47.687,122.259
4,14400,0.76202392578125,16.087928388050898,12759,15.46434510856551,13066,8521,0.0,0,2,2020-05-14 03:00:00,2015,47.687,122.259
5,18000,0.76263427734375,15.667020038088594,13009,14.470567148186547,13693,8521,0.0,0,2,2020-05-14 04:00:00,2015,47.687,122.259
6,21600,0.762939453125,15.670351054775551,13007,14.686671815180148,13554,8521,0.0,0,2,2020-05-14 05:00:00,2015,47.687,122.259
7,25200,0.76385498046875,14.332274210078879,13839,13.486895681035548,14345,8521,0.0,0,2,2020-05-14 06:00:00,2015,47.687,122.259
8,28800,0.76446533203125,14.057760207948945,14017,13.445716047518715,14373,8521,0.0,0,2,2020-05-14 07:00:00,2015,47.687,122.259
9,32400,0.76507568359375,12.080376592353332,15378,11.75355374079453,15575,8521,0.0,0,3,2020-05-14 08:00:00,2015,47.687,122.259
10,36000,0.765380859375,11.711516395192405,15648,11.346104000116895,15880,8521,0.0,0,2,2020-05-14 09:00:00,2015,47.687,122.259
11,39600,0.76629638671875,11.343109115993968,15923,11.035163079524352,16117,8521,0.0,0,2,2020-05-14 10:00:00,2015,47.687,122.259
12,43200,0.7659912109375,11.556576511879825,15763,11.22482265559512,15972,8521,0.0,0,2,2020-05-14 11:00:00,2015,47.687,122.259
13,46800,0.76690673828125,11.341782538110238,15924,11.007844665249081,16138,8521,0.0,0,2,2020-05-14 12:00:00,2015,47.687,122.259
14,50400,0.76629638671875,11.8350311036628,15557,11.533428992441145,15739,8521,0.0,0,2,2020-05-14 13:00:00,2015,47.687,122.259
15,54000,0.7672119140625,12.4960391666217,15080,12.117219558742931,15308,8521,0.0,0,2,2020-05-14 14:00:00,2015,47.687,122.259
16,57600,0.767822265625,12.354133239239218,15181,11.928428175858699,15446,8521,0.0,0,2,2020-05-14 15:00:00,2015,47.687,122.259
17,61200,0.7684326171875,12.123192725818456,15347,11.643186883264377,15657,8521,0.0,0,2,2020-05-14 16:00:00,2015,47.687,122.259
18,64800,0.767822265625,12.23970118635441,15263,11.864536172292276,15493,8521,0.0,0,2,2020-05-14 17:00:00,2015,47.687,122.259
19,68400,0.76934814453125,12.029400335126752,15415,11.705024588797016,15611,8521,0.0,0,2,2020-05-14 18:00:00,2015,47.687,122.259
20,72000,0.7696533203125,12.449556595662557,15113,12.103478713225513,15318,8521,0.0,0,2,2020-05-14 19:00:00,2015,47.687,122.259
21,75600,0.76904296875,12.840446076457226,14838,12.23163588637965,15225,8521,0.0,0,2,2020-05-14 20:00:00,2015,47.687,122.259
