,time,pressure,ttp_temp,ttp_temp_ADC,sst_temp,sst_temp_ADC,temp_ref,par,fluor,tilt,datetime,id,dep_lat,dep_lon
0,10800,0.02838134765625,21.859752576284222,9853,21.965898592377357,9889,8519,2.3407534246575343,0,72,2020-07-01 01:00:00,2005,47.687,122.259
1,14400,0.0274658203125,21.846107049603518,9859,22.00082179233266,9874,8519,0.0,0,72,2020-07-01 02:00:00,2005,47.687,122.259
2,18000,0.02685546875,21.748587387256805,9902,21.900867219952488,9917,8519,0.0,0,71,2020-07-01 03:00:00,2005,47.687,122.259
3,21600,0.0274658203125,21.678578338240527,9933,21.836041349628317,9945,8519,0.0,0,72,2020-07-01 04:00:00,2005,47.687,122.259
4,25200,0.0274658203125,21.6110618772002,9963,21.778333760279565,9970,8519,0.0,0,72,2020-07-01 05:00:00,2005,47.687,122.259
5,28800,0.0274658203125,21.55273281483926,9989,21.720788147032124,9995,8519,0.0,0,72,2020-07-01 06:00:00,2005,47.687,122.259
6,32400,0.02777099609375,21.50127657735544,10012,21.67028130978389,10017,8519,0.0,0,72,2020-07-01 07:00:00,2005,47.687,122.259
7,36000,0.0274658203125,21.449953476370183,10035,21.619898656930445,10039,8519,0.0,0,72,2020-07-01 08:00:00,2005,47.687,122.259
8,39600,0.02777099609375,21.37876767399183,10067,21.524056344258383,10081,8519,0.0,0,72,2020-07-01 09:00:00,2005,47.687,122.259
9,43200,0.0274658203125,21.34770408415102,10081,21.52177984233481,10082,8519,0.0,0,72,2020-07-01 10:00:00,2005,47.687,122.259
10,46800,0.0274658203125,21.318902850858876,10094,21.489935363408335,10096,8519,0.0,0,72,2020-07-01 11:00:00,2005,47.687,122.259
11,50400,0.02685546875,21.210719095813943,10143,21.367568627108312,10150,8519,0.0,0,72,2020-07-01 12:00:00,2005,47.687,122.259
12,54000,0.02655029296875,21.16453489923356,10164,21.320178478957075,10171,8519,0.0,0,72,2020-07-01 13:00:00,2005,47.687,122.259
13,57600,0.02685546875,21.120649875280947,10184,21.281895274353644,10188,8519,0.0,0,72,2020-07-01 14:00:00,2005,47.687,122.259
14,61200,0.02655029296875,21.09217669034939,10197,21.254914915255313,10200,8519,0.0,0,72,2020-07-01 15:00:00,2005,47.687,122.259
15,64800,0.02716064453125,21.065930056053617,10209,21.227970106476164,10212,8519,0.018726027397260273,0,72,2020-07-01 16:00:00,2005,47.687,122.259
16,68400,0.02716064453125,21.05281978068018,10215,21.21675357395776,10217,8519,0.018726027397260273,0,72,2020-07-01 17:00:00,2005,47.687,122.259
17,72000,0.02655029296875,21.061558999148417,10211,21.230214151554094,10211,8519,0.037452054794520545,0,72,2020-07-01 18:00:00,2005,47.687,122.259
18,75600,0.02655029296875,21.114075504150435,10187,21.270649131997175,10193,8519,2.4156575342465754,0,72,2020-07-01 19:00:00,2005,47.687,122.259
19,79200,0.02655029296875,21.04626789866421,10218,21.10269511701955,10268,8519,123.29216438356165,0,7,2020-07-01 20:00:00,2005,47.687,122.259
