,time,pressure,ttp_temp,ttp_temp_ADC,sst_temp,sst_temp_ADC,temp_ref,par,fluor,tilt,datetime,id,dep_lat,dep_lon
0,0,0.22247314453125,16.630920924359202,12512,16.428393838873717,13528,8532,0.0,0,1,2020-05-18 23:00:00,2011,47.687,122.259
1,3600,0.2227783203125,16.439691715441427,12622,16.32724771235712,13590,8533,0.0,0,1,2020-05-19 00:00:00,2011,47.687,122.259
2,7200,0.22308349609375,16.448343091887978,12617,16.289858135555164,13613,8533,0.0,0,1,2020-05-19 01:00:00,2011,47.687,122.259
3,10800,0.22369384765625,16.240058349043352,12738,16.116847757889218,13720,8533,0.0,0,1,2020-05-19 02:00:00,2011,47.687,122.259
4,14400,0.22369384765625,16.412033275514432,12638,16.27037882417096,13625,8533,0.0,0,1,2020-05-19 03:00:00,2011,47.687,122.259
5,18000,0.2239990234375,16.134197137694287,12800,15.983688912661819,13803,8533,0.0,0,1,2020-05-19 04:00:00,2011,47.687,122.259
6,21600,0.22430419921875,16.288057360174946,12710,16.150682690073154,13699,8533,0.0,0,1,2020-05-19 05:00:00,2011,47.687,122.259
7,25200,0.224609375,16.33273482145887,12684,16.200736631597692,13668,8533,0.0,0,1,2020-05-19 06:00:00,2011,47.687,122.259
8,28800,0.2252197265625,16.069600011018395,12838,15.784844276701051,13928,8533,0.0,0,1,2020-05-19 07:00:00,2011,47.687,122.259
9,32400,0.224609375,15.94948142916553,12909,14.783818111669575,14577,8533,0.0,0,1,2020-05-19 08:00:00,2011,47.687,122.259
10,36000,0.22552490234375,15.428686393546002,13222,14.357061429507326,14864,8533,0.0,0,1,2020-05-19 09:00:00,2011,47.687,122.259
11,39600,0.2252197265625,11.579083926937358,15820,11.276843019651665,17135,8533,0.0,0,1,2020-05-19 10:00:00,2011,47.687,122.259
12,43200,0.22552490234375,12.184128942702216,15376,11.955330479553652,16603,8532,0.0,0,1,2020-05-19 11:00:00,2011,47.687,122.259
13,46800,0.2252197265625,11.42149678268379,15938,11.25430331333672,17153,8532,0.0,0,1,2020-05-19 12:00:00,2011,47.687,122.259
14,50400,0.225830078125,12.07504647875163,15455,12.045121237717751,16534,8532,0.0,0,1,2020-05-19 13:00:00,2011,47.687,122.259
15,54000,0.22552490234375,13.029438777416033,14779,12.75869033948942,15997,8532,0.0,0,1,2020-05-19 14:00:00,2011,47.687,122.259
16,57600,0.22613525390625,13.449615583005027,14492,13.257904529135885,15633,8532,0.0,0,1,2020-05-19 15:00:00,2011,47.687,122.259
17,61200,0.22613525390625,13.356583086132844,14555,13.202408314649972,15673,8533,0.0,0,1,2020-05-19 16:00:00,2011,47.687,122.259
18,64800,0.2264404296875,13.788648131313607,14265,13.00256471790101,15818,8533,0.0,0,1,2020-05-19 17:00:00,2011,47.687,122.259
19,68400,0.2264404296875,13.861116771565776,14217,13.423957064140154,15514,8533,0.0,0,1,2020-05-19 18:00:00,2011,47.687,122.259
20,72000,0.2264404296875,13.1791677901777,14676,12.797991312998988,15968,8533,0.0,0,2,2020-05-19 19:00:00,2011,47.687,122.259
21,75600,0.2264404296875,14.08937143302387,14067,13.902111591118341,15177,8533,0.0,0,1,2020-05-19 20:00:00,2011,47.687,122.259
