,time,pressure,fr_temp,fr_temp_ADC,sr_temp,sr_temp_ADC,temp_ref,par,fluor,tilt,TTS,GPSLat,GPSLon,GPSDate,GPSTime,TTF,Max_Tilt,datetime,depth_m,id,dep_lat,dep_lon
0,1618510832.0,0.0335693359375,9.585312915677434,17402,28.886984521426427,7372,8545,506.58438356164385,0.07982039099999999,8,228,47.687844,-122.258919,150421,18205830,15,3849,2021-04-15 18:20:32,0.33338280318394165,2460,47.687823,-122.258931
1,1618512057.0,0.03265380859375,9.596149260453274,17393,30.79608969140935,6804,8545,506.58438356164385,0.093653433,8,46,47.68778,-122.258991,150421,18412308,14,3593,2021-04-15 18:40:57,0.3242905449152887,2460,47.687823,-122.258931
2,1618520400.0,0.030517578125,13.51027278234642,14460,41.441442225679,4422,8544,506.56582191780825,0.060940158,2,5,47.687516,-122.259527,150421,21003500,23,5905,2021-04-15 21:00:00,0.3030752756217651,2460,47.687823,-122.258931
3,1618531200.0,0.02655029296875,13.178054201720897,14686,32.42743657882164,6358,8544,315.39945205479455,0.06916520999999999,1,5,47.68776,-122.258871,160421,5108,39,10029,2021-04-16 00:00:00,0.2636754897909357,2460,47.687823,-122.258931
4,1618532450.0,0.02685546875,13.029997239358693,14788,28.634807765609253,7451,8544,253.86760273972604,0.08094198899999999,4,234,47.687764,-122.258927,160421,211709,15,3848,2021-04-16 00:20:50,0.2667062425471533,2460,47.687823,-122.258931
5,1618533676.0,0.02655029296875,13.408225976058134,14529,30.13102847516609,6996,8544,193.39376712328766,0.08150278799999999,0,237,47.687804,-122.258935,160421,414300,15,3847,2021-04-16 00:41:16,0.2636754897909357,2460,47.687823,-122.258931
6,1618542000.0,0.0274658203125,12.58981390215149,15096,19.708452967375308,10982,8545,2.747123287671233,0.128049105,1,5,47.68704,-122.260727,160421,3003800,26,6661,2021-04-16 03:00:00,0.27276774805958864,2460,47.687823,-122.258931
7,1618552800.0,0.0286865234375,11.718798736656936,15727,10.453176445298197,16801,8545,-0.12993150684931506,0.18356820599999998,2,5,47.687732,-122.258815,160421,6003261,21,5379,2021-04-16 06:00:00,0.2848907590844592,2460,47.687823,-122.258931
8,1618563600.0,0.02960205078125,10.78590100331894,16436,8.060475649652176,18829,8544,-0.12993150684931506,0.19814898,1,5,47.687724,-122.259023,160421,9003364,22,5635,2021-04-16 09:00:00,0.29398301735311216,2460,47.687823,-122.258931
9,1618574400.0,0.03021240234375,10.190874100293229,16907,7.077855912733128,19741,8544,-0.12993150684931506,0.185437536,1,5,47.687676,-122.259263,160421,12004165,30,7684,2021-04-16 12:00:00,0.3000445228655475,2460,47.687823,-122.258931
10,1618585200.0,0.03173828125,9.888693011693078,17152,7.285701959109815,19544,8544,26.134794520547945,0.214225218,2,5,47.68788,-122.258919,160421,15003261,21,5379,2021-04-16 15:00:00,0.31519828664663574,2460,47.687823,-122.258931
11,1618596000.0,0.03631591796875,10.958701032891838,16302,25.026712266871982,8694,8545,506.6029452054795,0.127675239,3,5,47.687672,-122.259031,160421,18003300,21,5379,2021-04-16 18:00:00,0.3606595779899005,2460,47.687823,-122.258931
