,time,pressure,fr_temp,fr_temp_ADC,sr_temp,sr_temp_ADC,temp_ref,par,fluor,tilt,datetime,depth_m,id,dep_lat,dep_lon
0,10800,0.09002685546875,9.490538760911704,17425,9.406022542114897,17420,8516,0.0,0.313046784,8,2021-04-15 08:00:00,0.8940720630842072,4440,47.687823,-122.258931
1,14400,0.0897216796875,9.557807770020872,17369,9.469167501189986,17368,8516,0.0,0.271740672,8,2021-04-15 09:00:00,0.8910413103279895,4440,47.687823,-122.258931
2,18000,0.09002685546875,9.542170051797996,17382,9.370899523382946,17449,8516,0.0,0.262179072,8,2021-04-15 10:00:00,0.8940720630842072,4440,47.687823,-122.258931
3,21600,0.09033203125,9.409180784578894,17493,9.17829573470351,17609,8516,0.0,0.220299264,8,2021-04-15 11:00:00,0.8971028158404248,4440,47.687823,-122.258931
4,25200,0.09033203125,9.318670741312872,17569,9.105385554275529,17670,8516,0.0,0.282258432,8,2021-04-15 12:00:00,0.8971028158404248,4440,47.687823,-122.258931
5,28800,0.091552734375,9.199066078623673,17670,9.106578509269923,17669,8516,0.03975342465753425,0.20844288,8,2021-04-15 13:00:00,0.9092258268652954,4440,47.687823,-122.258931
6,32400,0.091552734375,9.155442611971182,17707,9.020880149289894,17741,8516,4.472260273972603,0.245350656,8,2021-04-15 14:00:00,0.9092258268652954,4440,47.687823,-122.258931
7,36000,0.09124755859375,9.109571843282993,17746,8.968702129081123,17785,8516,7.155616438356165,0.188745984,9,2021-04-15 15:00:00,0.9061950741090777,4440,47.687823,-122.258931
8,39600,0.09124755859375,9.150732696509465,17711,8.994772887650925,17763,8516,7.871178082191781,0.192379392,8,2021-04-15 16:00:00,0.9061950741090777,4440,47.687823,-122.258931
9,43200,0.030517578125,13.690689632307397,14287,9.347923633407731,17468,8516,365.0755753424658,0.090261504,6,2021-04-15 17:00:00,0.3030752756217651,4440,47.687823,-122.258931
