,time,pressure,fr_temp,fr_temp_ADC,sr_temp,sr_temp_ADC,temp_ref,par,fluor,tilt,datetime,depth_m,id,dep_lat,dep_lon
0,0,0.020446777,22.85330209,9427,22.83058726,9525,8522,0,0,177,8/4/2021 23:00,0.203060435,M8poptop,47.68,-122.25
1,3600,0.019226074,22.3946893,9621,22.2092637,9785,8522,0,0,177,8/5/2021 00:00,0.190937424,M8poptop,47.68,-122.25
2,7200,0.019226074,21.78935134,9884,21.70011121,10004,8522,0,0,177,8/5/2021 01:00,0.190937424,M8poptop,47.68,-122.25
3,10800,0.018920898,22.7150833,9485,22.81846016,9530,8522,0,0,177,8/5/2021 02:00,0.187906671,M8poptop,47.68,-122.25
4,14400,0.01953125,23.08661927,9330,23.18541199,9380,8522,0,0,177,8/5/2021 03:00,0.193968176,M8poptop,47.68,-122.25
5,18000,0.019226074,23.28600172,9248,23.37385474,9304,8522,0,0,177,8/5/2021 04:00,0.190937424,M8poptop,47.68,-122.25
6,21600,0.01953125,23.41347594,9196,23.48875285,9258,8522,0,0,177,8/5/2021 05:00,0.193968176,M8poptop,47.68,-122.25
7,25200,0.019836426,23.49726511,9162,23.57408986,9224,8522,0,0,177,8/5/2021 06:00,0.196998929,M8poptop,47.68,-122.25
8,28800,0.01953125,23.55414526,9139,23.62949615,9202,8522,0,0,177,8/5/2021 07:00,0.193968176,M8poptop,47.68,-122.25
9,32400,0.018920898,23.6062206,9118,23.6799946,9182,8522,0,0,177,8/5/2021 08:00,0.187906671,M8poptop,47.68,-122.25
10,36000,0.01953125,23.63852559,9105,23.71035293,9170,8522,0,0,177,8/5/2021 09:00,0.193968176,M8poptop,47.68,-122.25
11,39600,0.01953125,23.65345316,9099,23.72808254,9163,8522,0,0,177,8/5/2021 10:00,0.193968176,M8poptop,47.68,-122.25
12,43200,0.019836426,23.67088269,9092,23.74329144,9157,8522,0,0,177,8/5/2021 11:00,0.196998929,M8poptop,47.68,-122.25
13,46800,0.019836426,23.67586534,9090,23.74582735,9156,8522,0,0,177,8/5/2021 12:00,0.196998929,M8poptop,47.68,-122.25
14,50400,0.019836426,23.36925839,9214,23.30422828,9332,8522,0,0,177,8/5/2021 13:00,0.196998929,M8poptop,47.68,-122.25
15,54000,0.020141602,22.24567898,9685,22.07552381,9842,8522,0,0,177,8/5/2021 14:00,0.200029682,M8poptop,47.68,-122.25
16,57600,0.020751953,21.57738957,9978,21.43772673,10119,8522,0,0,177,8/5/2021 15:00,0.206091187,M8poptop,47.68,-122.25
17,61200,0.020446777,21.85065452,9857,21.78063895,9969,8522,0,0,177,8/5/2021 16:00,0.203060435,M8poptop,47.68,-122.25
18,64800,0.020751953,21.62904383,9955,21.56735804,10062,8522,0,0,177,8/5/2021 17:00,0.206091187,M8poptop,47.68,-122.25
19,68400,0.020446777,21.56169536,9985,21.53316488,10077,8522,0,0,177,8/5/2021 18:00,0.203060435,M8poptop,47.68,-122.25
20,72000,0.020141602,21.88023845,9844,21.84760238,9940,8522,0,0,177,8/5/2021 19:00,0.200029682,M8poptop,47.68,-122.25
21,75600,0.01953125,22.10238074,9747,22.07318525,9843,8522,0,0,177,8/5/2021 20:00,0.193968176,M8poptop,47.68,-122.25
