r	V(n006)
1.000000000000000e+004	5.375022e-002
1.100000000000000e+004	5.620027e-002
1.200000000000000e+004	5.872117e-002
1.300000000000000e+004	6.131240e-002
1.400000000000000e+004	6.397364e-002
1.500000000000000e+004	6.670473e-002
1.600000000000000e+004	6.950573e-002
1.700000000000000e+004	7.237688e-002
1.800000000000000e+004	7.531858e-002
1.900000000000000e+004	7.833146e-002
2.000000000000000e+004	8.141631e-002
2.100000000000000e+004	8.457407e-002
2.200000000000000e+004	8.780587e-002
2.300000000000000e+004	9.111303e-002
2.400000000000000e+004	9.449697e-002
2.500000000000000e+004	9.795929e-002
2.600000000000000e+004	1.015013e-001
2.700000000000000e+004	1.051226e-001
2.800000000000000e+004	1.088283e-001
2.900000000000000e+004	1.126252e-001
3.000000000000000e+004	1.165010e-001
3.100000000000000e+004	1.203844e-001
3.200000000000000e+004	1.242677e-001
3.300000000000000e+004	1.281510e-001
3.400000000000000e+004	1.320344e-001
3.500000000000000e+004	1.359177e-001
3.600000000000000e+004	1.398010e-001
3.700000000000000e+004	1.436843e-001
3.800000000000000e+004	1.475676e-001
3.900000000000000e+004	1.514510e-001
4.000000000000000e+004	1.553343e-001
4.100000000000000e+004	1.592176e-001
4.200000000000000e+004	1.631009e-001
4.300000000000000e+004	1.669842e-001
4.400000000000000e+004	1.708675e-001
4.500000000000000e+004	1.747508e-001
4.600000000000000e+004	1.786341e-001
4.700000000000000e+004	1.825174e-001
4.800000000000000e+004	1.864007e-001
4.900000000000000e+004	1.902840e-001
5.000000000000000e+004	1.941673e-001
5.100000000000000e+004	1.980506e-001
5.200000000000000e+004	2.019339e-001
5.300000000000000e+004	2.058172e-001
5.400000000000000e+004	2.097005e-001
5.500000000000000e+004	2.135838e-001
5.600000000000000e+004	2.174671e-001
5.700000000000000e+004	2.213504e-001
5.800000000000000e+004	2.252337e-001
5.900000000000000e+004	2.291170e-001
6.000000000000000e+004	2.330002e-001
6.100000000000000e+004	2.368835e-001
6.200000000000000e+004	2.407668e-001
6.300000000000000e+004	2.446501e-001
6.400000000000000e+004	2.485334e-001
6.500000000000000e+004	2.524166e-001
6.600000000000000e+004	2.562999e-001
6.700000000000000e+004	2.601832e-001
6.800000000000000e+004	2.640664e-001
6.900000000000000e+004	2.679497e-001
7.000000000000000e+004	2.718330e-001
7.100000000000000e+004	2.757162e-001
7.200000000000000e+004	2.795995e-001
7.300000000000000e+004	2.834828e-001
7.400000000000000e+004	2.873660e-001
7.500000000000000e+004	2.912493e-001
7.600000000000000e+004	2.951325e-001
7.700000000000000e+004	2.990158e-001
7.800000000000000e+004	3.028990e-001
7.900000000000000e+004	3.067823e-001
8.000000000000000e+004	3.106655e-001
8.100000000000000e+004	3.145488e-001
8.200000000000000e+004	3.184320e-001
8.300000000000000e+004	3.223152e-001
8.400000000000000e+004	3.261985e-001
8.500000000000000e+004	3.300817e-001
8.600000000000000e+004	3.339650e-001
8.700000000000000e+004	3.378482e-001
8.800000000000000e+004	3.417315e-001
8.900000000000000e+004	3.456147e-001
9.000000000000000e+004	3.494979e-001
9.100000000000000e+004	3.533811e-001
9.200000000000000e+004	3.572644e-001
9.300000000000000e+004	3.611476e-001
9.400000000000000e+004	3.650308e-001
9.500000000000000e+004	3.689140e-001
9.600000000000000e+004	3.727973e-001
9.700000000000000e+004	3.766805e-001
9.800000000000000e+004	3.805637e-001
9.900000000000000e+004	3.844469e-001
1.000000000000000e+005	3.883301e-001
1.010000000000000e+005	3.922133e-001
1.020000000000000e+005	3.960966e-001
1.030000000000000e+005	3.999798e-001
1.040000000000000e+005	4.038630e-001
1.050000000000000e+005	4.077462e-001
1.060000000000000e+005	4.116294e-001
1.070000000000000e+005	4.155126e-001
1.080000000000000e+005	4.193958e-001
1.090000000000000e+005	4.232790e-001
1.100000000000000e+005	4.271622e-001
1.110000000000000e+005	4.310454e-001
1.120000000000000e+005	4.349286e-001
1.130000000000000e+005	4.388117e-001
1.140000000000000e+005	4.426950e-001
1.150000000000000e+005	4.465781e-001
1.160000000000000e+005	4.504613e-001
1.170000000000000e+005	4.543445e-001
1.180000000000000e+005	4.582277e-001
1.190000000000000e+005	4.621109e-001
1.200000000000000e+005	4.659941e-001
1.210000000000000e+005	4.698772e-001
1.220000000000000e+005	4.737604e-001
1.230000000000000e+005	4.776436e-001
1.240000000000000e+005	4.815268e-001
1.250000000000000e+005	4.854099e-001
1.260000000000000e+005	4.892931e-001
1.270000000000000e+005	4.931763e-001
1.280000000000000e+005	4.970594e-001
1.290000000000000e+005	5.009426e-001
1.300000000000000e+005	5.048258e-001
1.310000000000000e+005	5.087090e-001
1.320000000000000e+005	5.125921e-001
1.330000000000000e+005	5.164753e-001
1.340000000000000e+005	5.203584e-001
1.350000000000000e+005	5.242416e-001
1.360000000000000e+005	5.281247e-001
1.370000000000000e+005	5.320079e-001
1.380000000000000e+005	5.358910e-001
1.390000000000000e+005	5.397742e-001
1.400000000000000e+005	5.436573e-001
1.410000000000000e+005	5.475404e-001
1.420000000000000e+005	5.514236e-001
1.430000000000000e+005	5.553067e-001
1.440000000000000e+005	5.591899e-001
1.450000000000000e+005	5.630730e-001
1.460000000000000e+005	5.669562e-001
1.470000000000000e+005	5.708393e-001
1.480000000000000e+005	5.747224e-001
1.490000000000000e+005	5.786055e-001
1.500000000000000e+005	5.824887e-001
1.510000000000000e+005	5.863718e-001
1.520000000000000e+005	5.902550e-001
1.530000000000000e+005	5.941381e-001
1.540000000000000e+005	5.980212e-001
1.550000000000000e+005	6.019043e-001
1.560000000000000e+005	6.057874e-001
1.570000000000000e+005	6.096705e-001
1.580000000000000e+005	6.135536e-001
1.590000000000000e+005	6.174368e-001
1.600000000000000e+005	6.213199e-001
1.610000000000000e+005	6.252030e-001
1.620000000000000e+005	6.290861e-001
1.630000000000000e+005	6.329692e-001
1.640000000000000e+005	6.368523e-001
1.650000000000000e+005	6.407354e-001
1.660000000000000e+005	6.446185e-001
1.670000000000000e+005	6.485016e-001
1.680000000000000e+005	6.523847e-001
1.690000000000000e+005	6.562678e-001
1.700000000000000e+005	6.601509e-001
1.710000000000000e+005	6.640340e-001
1.720000000000000e+005	6.679171e-001
1.730000000000000e+005	6.718002e-001
1.740000000000000e+005	6.756833e-001
1.750000000000000e+005	6.795664e-001
1.760000000000000e+005	6.834494e-001
1.770000000000000e+005	6.873325e-001
1.780000000000000e+005	6.912156e-001
1.790000000000000e+005	6.950987e-001
1.800000000000000e+005	6.989818e-001
1.810000000000000e+005	7.028648e-001
1.820000000000000e+005	7.067479e-001
1.830000000000000e+005	7.106310e-001
1.840000000000000e+005	7.145141e-001
1.850000000000000e+005	7.183971e-001
1.860000000000000e+005	7.222802e-001
1.870000000000000e+005	7.261633e-001
1.880000000000000e+005	7.300463e-001
1.890000000000000e+005	7.339294e-001
1.900000000000000e+005	7.378125e-001
