"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"+3V3";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"+3VP*";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"+3VT*";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"+5V";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"ALARM";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"B1";"GPS Backup";"CR1220SMT";"CR1220-SMD";"CR1216/CR1220/CR1225 12mm 3V lithium coin cell";"";"";"";"";"";"";"";
"B2";"RTC Backup";"CR1220SMT";"CR1220-SMD";"CR1216/CR1220/CR1225 12mm 3V lithium coin cell";"";"";"";"";"";"";"";
"C1";"11pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C2";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C3";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C4";"4.7";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C5";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C7";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C8";"4.7";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C9";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C10";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C11";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C13";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C14";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C15";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C16";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C17";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C18";"10";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C19";"3.3";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C20";"1.0";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C21";"1.0";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C22";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C23";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C24";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C25";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C26";"10";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"2222 370 21104";"";"98K6987";"";"";"";
"C27";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C28";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"C29";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";"";
"D1";"MBR0540";"D-FILL-SOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";
"D2";"BAT46JFILM";"DIODE-SOD323-R";"SOD323-R";"DIODE";"";"";"";"unknown";"";"";"";
"D3";"BAT46JFILM";"DIODE-SOD323-R";"SOD323-R";"DIODE";"";"";"";"unknown";"";"";"";
"GND1";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"GND2";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"GND3";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"JP1";"PAR";"HEADER_POS2_43650-0215";"43650-0215";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 2 positions.";"";"";"";"";"";"";"";
"JP2";"PRESSURE";"HEADER_POS4_43650-0415";"43650-0415";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 4 positions.";"";"";"";"";"";"";"";
"JP3";"SST";"HEADER_POS2_43650-0215";"43650-0215";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 2 positions.";"";"";"";"";"";"";"";
"JP4";"TEMP";"HEADER_POS2_43650-0215";"43650-0215";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 2 positions.";"";"";"";"";"";"";"";
"JP5";"GPS";"901-9895-RFX";"AMPHENOL_901-9895-RFX";"RF/COAXIAL, SMA JACK, STR, 50OHM, SOLDER";"";"901-9895-RFX";"-";"83F6735";"RF/COAXIAL, SMA JACK, STR, 50OHM, SOLDER ";"";"Amphenol";
"JP6";"BATT";"HEADER_POS2_43650-0215";"43650-0215";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 2 positions.";"";"";"";"";"";"";"";
"JP7";"FLUOR";"HEADER_POS6_43045-0612";"43045-0612";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 6 positions.";"";"";"";"";"";"";"";
"JP8";"IRIDIUM";"53398-1010";"53398-1010";"HEADER";"";"";"";"";"";"";"";
"JP9";"CAMERA";"HEADER_POS5_43650-0515";"43650-0515";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 5 positions.";"";"";"";"";"";"";"";
"MISO3V3";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"MISO5V";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
